LINE	YEAR	GENRE	SOURCE	CONTEXT
5	1860	FIC	GreenMountainBoy	Mrs. Shakspeare that is to be. El., Ellen Tomkins L. O aunt! fie! I hate the men! Tom. Tomkins Why, can I believe my
6	1860	FIC	Caprice186-?	. Sir E. Sir Edward Mordaunt What, secrets between us already? O, fie! there should be no secrets between man and wife. Lady B. Lady Blanche
7	1860	FIC	Elopement	a flame that will require something more than water to extinguish. Marie. Marie Fie, Annette! Madelaine is betrothed to Mons. Lefvre, and you, who are
8	1860	FIC	ElFureidis	with an ecstatic hope, that Meredith dreamed himself the successful suitor of Havilah. Fie on him for a presumptuous, cold-hearted lover! Yet stay! Let us remember
9	1860	FIC	SunnySouthTheSoutherner	the -- d --! would generally be to pay --. " (" Fie, colonel! " I said, trying to stop the word at the syllable
10	1860	FIC	SirRohansGhost	putting into it lumps of suet as big as my two thumbs. " " Fie, papa! " " Those were the fabulous exploits, " responded Sir Rohan
11	1861	FIC	Trumps	see? and yet you talk of being my only dependence in the world! Fie! fie! Mrs. Delilah Jones. " It was melancholy merriment. He did
12	1861	FIC	Trumps	and yet you talk of being my only dependence in the world! Fie! fie! Mrs. Delilah Jones. " It was melancholy merriment. He did not smile
13	1861	FIC	CupLip	little girl. Pauline. Pauline Embracing her father, pouting. Little girl! fie! you naughty man. Goes to Clementine and embraces her. Clem. Clementine
14	1861	FIC	CupLip	. Pauline. Pauline While going to Lucien. Lucien watches her at back. Fie! naughty cousin! he prefers a cup of coffee to our society. Exeunt
15	1861	NF/ACAD	CatholicityProtestantism	Jerusalem, the propagation of the Gospel, and the perpetuity of the Church which Fie founded. // life in testimony of His Divine Mission: He had proclaimed Himself
